 ICAO 	 Name	Lat     	 Lon	Lvl	 BNL 	Edit date	Editor
LFEI	Briare	4736940N	00246880E	3	0		
LFEJ	Chateauroux-Villers	4649940N	00136950E	3	0		
LFEK	Issoudun	4653240N	00202450E	3	0		
LFEM	Montargis	4757580N	00241100E	3	0		
LFEN	Tours	4715940N	00041950E	5	0		
LFFB	Buno	4821010N	00225480E	2	0		
LFFC	Mantes	4904670N	00141330E	3	0		
LFFM	La Motte Beuvron	4739340N	00159300E	3	0		
LFFN	Brienne-l-Chte	4825850N	00428950E	3	0		
LFFR	Bar-s-Seine	4803950N	00424770E	3	0		
LFFU	Chateauneuf-s-Cher	4651940N	00222950E	3	0		
LFFV	Vierzon	4711620N	00203950E	3	0		
LFFY	Etrepagny	4918170N	00138140E	3	0		
LFFZ	Sezanne	4842580N	00345800E	3	0		
LFGH	Cosne	4721620N	00255100E	3	0		
LFGK	Joigny	4759650N	00323470E	3	0		
LFGO	Pont-s-Yonne	4817380N	00315000E	3	0		
LFGP	St.Florentin	4758820N	00346620E	3	0		
LFGQ	Semur	4728630N	00420540E	3	0		
LFGS	Longuyon	4929020N	00534320E	3	0		
LFGV	Thionville	4921250N	00612050E	4	0		
LFHY	Moulins	4632040N	00325320E	3	0		
LFJC	Clamecy	4726200N	00330450E	3	0		
LFJF	Aubenasson	4441700N	00509033E	3	0		
LFJS	Soissons	4920690N	00317000E	3	0		
LFJT	Le Louroux	4708590N	00042760E	3	0		
LFKA	Albertville	4537625N	00619775E	4	0		
LFLB	Chambery	4533690N	00558610E	4	0		
LFLD	Bourges	4703860N	00222750E	4	0		
LFLP	Annecy	4556075N	00606310E	4	0		
LFLT	Monlucon	4621140N	00234150E	3	0		
LFLX	Chateauroux-Deols	4651640N	00143300E	5	0		
LFMF	Fayence	4336660N	00641610E	3	0		
LFMR	Barcelonnette	4423300N	00636610E	2	0		
LFMX	St.Auban	4403600N	00559480E	3	0		
LFNA	Gap	4427310N	00602260E	3	0		
LFNC	St.Crepin	4442090N	00635880E	3	0		
LFNF	Vinon	4344266N	00547016E	3	0		
LFNH	Carpentras	4401890N	00504710E	3	0		
LFNJ	Aspres	4431030N	00544140E	2	0		
LFNS	Sisteron	4417240N	00555750E	3	0		
LFNZ	St.Remy	4346040N	00453575E	2	0		
LFOB	Beauvais	4926750N	00206850E	3	0		
