52°15,458'N	007°02,548'E
52°16,808'N	007°01,700'E
52°18,186'N	007°01,934'E
52°19,206'N	007°02,895'E
52°20,591'N	007°03,462'E
52°21,492'N	007°04,262'E
52°23,628'N	007°04,129'E
52°24,338'N	007°03,093'E
52°24,450'N	007°01,751'E
52°26,875'N	006°59,919'E
52°28,127'N	006°58,849'E
52°27,764'N	006°58,327'E
52°26,643'N	006°57,358'E
52°26,240'N	006°56,071'E
52°26,594'N	006°54,455'E
52°27,208'N	006°50,819'E
52°27,545'N	006°50,165'E
52°27,571'N	006°45,727'E
52°28,196'N	006°44,103'E
52°28,543'N	006°43,625'E
52°28,625'N	006°42,478'E
52°29,414'N	006°41,561'E
52°31,202'N	006°41,964'E
52°31,979'N	006°41,677'E
52°32,519'N	006°41,021'E
52°33,047'N	006°41,063'E
52°32,856'N	006°42,239'E
52°33,524'N	006°42,799'E
52°33,530'N	006°43,976'E
52°33,371'N	006°44,533'E
52°33,770'N	006°45,710'E
52°35,334'N	006°42,717'E
52°36,706'N	006°42,909'E
52°37,600'N	006°42,540'E
52°38,806'N	006°44,824'E
52°39,072'N	006°46,585'E
52°39,031'N	006°48,507'E
52°39,166'N	006°53,831'E
52°38,403'N	006°55,606'E
52°38,768'N	006°58,309'E
52°38,649'N	007°00,025'E
52°38,041'N	007°02,186'E
52°38,533'N	007°03,119'E
52°49,160'N	007°04,316'E
52°50,172'N	007°05,240'E
52°51,418'N	007°05,274'E
52°52,805'N	007°06,438'E
52°54,241'N	007°08,251'E
52°55,212'N	007°09,010'E
52°56,104'N	007°10,082'E
53°00,175'N	007°12,146'E
53°06,720'N	007°11,635'E
53°07,779'N	007°10,559'E
53°08,611'N	007°10,423'E
53°09,255'N	007°10,779'E
53°10,332'N	007°10,860'E
53°10,749'N	007°11,686'E
53°11,113'N	007°12,962'E
53°11,801'N	007°12,341'E
53°12,303'N	007°12,618'E
53°14,332'N	007°12,025'E
